username,text,likes,pred_label,prob_confuso,prob_não,prob_sim
duartedeboraribeiro,Essa é a história que nos comoveu de certa forma na época lembro que chorei muito vendo a notícia na TV sonhei com ela várias vezes sem ao menos conhecer ou ter qual quer tipo de contato hoje sou mãe sei como é vc amar além do infinito onde ela estiver sempre será lembrada com muito carinho por uma nação que há conheceu de forma trágica mais um anjo que deixou um legado aqui na terra 😢 até hoje eu me emociono quando vejo a fotinha dela Isabella sempre será lembrada,,não,0.013925449922680855,0.9603572487831116,0.025717297568917274
rogerioarinalis,Chorei junto com essa mãe...E até hoje ainda choro 😢,,não,0.016991546377539635,0.962186872959137,0.020821575075387955
annacarolinecarol_,Viva santinha Isabella ! Vivaaaaa.,,não,0.0350799560546875,0.9280222058296204,0.03689778596162796
joelpinheiro122,@oliveira_021xx infelizmente os que mataram ela estão vivos,,não,0.07510747760534286,0.8525947332382202,0.0722978338599205
luziah_cristinaoliboni,@oliveira_021xx sim😢 e se vc ver a dra Beatriz falando sobre mds !,1.0,não,0.22215810418128967,0.7077765464782715,0.07006538659334183
dai_ackles,"Lindo vídeo, essa linda anjinha está cuidando de vc lá do céu",6.0,não,0.022017918527126312,0.9541631937026978,0.023818884044885635
tond_tai,Isa tao bella ❤️,,não,0.025021472945809364,0.9471792578697205,0.027799349278211594
bete7479,A vida pode ser prolongada para muitas de nós mães mais nos igualamos todas quando uma perde um filho. Essa dor é será infinita quando choramos Maria mãe de Deus chora e o céu rasga 😢😢💔,1.0,não,0.016564521938562393,0.9452047348022461,0.03823068365454674
maria_helenabrm2,Deus nos livre desta dor 💔💔💔,,não,0.028049439191818237,0.9409188032150269,0.031031789258122444
psicologatamiresalencar,Eu tbm🥺,356.0,não,0.048394814133644104,0.870956301689148,0.08064890652894974
isabella.myprincess__,😍❤️,148.0,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
nadiacris_mendes,uma dor na alma 😭😭😭,,não,0.021632088348269463,0.9566699266433716,0.021697960793972015
cantigas.isa,Sdds dessa bonecaaa,,não,0.07392468303442001,0.8810662627220154,0.045009054243564606
_e.aamaro,😭😭😭,,não,0.03178872540593147,0.9143905639648438,0.05382072553038597
siyrxkrr6685,Vc foi a melhor mãe que a Isa pôde ter ela deve ter agradecido a Deus por ter te escolhido,,não,0.020125476643443108,0.9461064338684082,0.03376806527376175
